timestamp,exp_id,question,metric,label,engine,varied_param,value,seed,duration_sec,ssim_face_min,face_tracked_ssim_min,face_tracked_ssim_mean,face_detect_rate,lighting_face_pct,flicker_face,flow_face,flow_shoulders,flow_hair,flow_full,translation_risk,organic_score,face_residual,background_lighting_pct,background_flicker,gate_passed,mp4
2026-06-22T04Z,identite_tracked,Metrique visage suivi vs rectangle fixe — Wan / GFPGAN / face-swap,face_tracked_ssim_min,plan02_luna_WAN,,,,,5.12,0.7731,0.8775,0.9583,1.0,11.6047,0.2935,0.2134,0.2679,0.1821,0.1423,0.0209,0.8562,0.196,5.5203,0.2138,False,/home/ludo/Téléchargements/plan02_luna_WAN.mp4
2026-06-22T04Z,identite_tracked,Metrique visage suivi vs rectangle fixe — Wan / GFPGAN / face-swap,face_tracked_ssim_min,plan02_luna_WAN_restored_gfpgan,,,,,5.12,0.7677,0.8731,0.9542,1.0,12.3284,0.354,0.3072,0.3169,0.2596,0.1788,0.0156,0.8404,0.2973,5.3631,0.2238,False,/home/ludo/Téléchargements/plan02_luna_WAN_restored_gfpgan.mp4
2026-06-22T04Z,identite_tracked,Metrique visage suivi vs rectangle fixe — Wan / GFPGAN / face-swap,face_tracked_ssim_min,plan02_luna_WAN_faceswap,,,,,5.12,0.7887,0.8903,0.9623,1.0,10.4192,0.3083,0.2184,0.2892,0.1886,0.1561,0.0154,0.8295,0.2019,5.5766,0.2281,False,/home/ludo/Téléchargements/plan02_luna_WAN_faceswap.mp4
