timestamp,exp_id,question,metric,label,engine,varied_param,value,seed,duration_sec,ssim_face_min,face_tracked_ssim_min,face_tracked_ssim_mean,face_detect_rate,lighting_face_pct,flicker_face,face_sharpness,face_luma_variation_pct,face_luma_flicker,flow_face,flow_shoulders,flow_hair,flow_full,translation_risk,organic_score,face_residual,background_lighting_pct,background_flicker,gate_passed,mp4
2026-06-22T05Z,metriques_artistiques,Métriques artistiques (E) : netteté + stabilité lumineuse — Wan / stabilisé / faceswap / colormatch,face_sharpness & face_luma_variation_pct,plan02_luna_WAN,,,,,5.12,0.7731,0.8775,0.9583,1.0,11.6047,0.2935,42.4,9.02,0.381,0.2134,0.2679,0.1821,0.1423,0.0209,0.8562,0.196,5.5203,0.2138,False,/home/ludo/Téléchargements/plan02_luna_WAN.mp4
2026-06-22T05Z,metriques_artistiques,Métriques artistiques (E) : netteté + stabilité lumineuse — Wan / stabilisé / faceswap / colormatch,face_sharpness & face_luma_variation_pct,plan02_luna_WAN_stabilized,,,,,5.12,0.7653,0.8762,0.9602,1.0,9.7803,0.2882,35.46,4.63,0.408,0.2197,0.2377,0.1866,0.1376,0.0103,0.8326,0.2057,7.1556,0.4759,False,/home/ludo/Téléchargements/plan02_luna_WAN_stabilized.mp4
2026-06-22T05Z,metriques_artistiques,Métriques artistiques (E) : netteté + stabilité lumineuse — Wan / stabilisé / faceswap / colormatch,face_sharpness & face_luma_variation_pct,plan02_luna_WAN_faceswap,,,,,5.12,0.7887,0.8903,0.9623,1.0,10.4192,0.3083,13.17,7.56,0.42,0.2184,0.2892,0.1886,0.1561,0.0154,0.8295,0.2019,5.5766,0.2281,False,/home/ludo/Téléchargements/plan02_luna_WAN_faceswap.mp4
2026-06-22T05Z,metriques_artistiques,Métriques artistiques (E) : netteté + stabilité lumineuse — Wan / stabilisé / faceswap / colormatch,face_sharpness & face_luma_variation_pct,plan02_luna_WAN_faceswap_colormatch,,,,,5.12,0.7879,0.8817,0.9627,1.0,10.4731,0.2728,12.82,8.81,0.443,0.1814,0.238,0.1577,0.1303,0.0111,0.7612,0.1672,5.8309,0.2276,False,/home/ludo/Téléchargements/plan02_luna_WAN_faceswap_colormatch.mp4
