path,filename,width,height,ratio,is_portrait,ratio_916_ok,ratio_diff,megapixels
assets/luna_stories_assets/09_decors_paris_la_defense/pack_01_yawatch_industries/yawatch_tour_la_defense_exterieur_jour_logo_01.png,yawatch_tour_la_defense_exterieur_jour_logo_01.png,474,500,0.948,True,False,0.3855,0.24
assets/luna_stories_assets/09_decors_paris_la_defense/pack_01_yawatch_industries/yawatch_tour_la_defense_exterieur_nuit_01.png,yawatch_tour_la_defense_exterieur_nuit_01.png,474,500,0.948,True,False,0.3855,0.24
assets/luna_stories_assets/09_decors_paris_la_defense/pack_01_yawatch_industries/yawatch_tour_la_defense_exterieur_nuit_logo_01.png,yawatch_tour_la_defense_exterieur_nuit_logo_01.png,474,500,0.948,True,False,0.3855,0.24
assets/luna_stories_assets/09_decors_paris_la_defense/pack_05_appartements_vie_normale/cuisine_familiale_paris_matin_01.png,cuisine_familiale_paris_matin_01.png,468,496,0.9435,True,False,0.381,0.23
assets/luna_stories_assets/09_decors_paris_la_defense/pack_01_yawatch_industries/luna_bureau_la_defense_bascule_01.png,luna_bureau_la_defense_bascule_01.png,436,473,0.9218,True,False,0.3593,0.21
assets/luna_stories_assets/09_decors_paris_la_defense/pack_01_yawatch_industries/aby_bureau_la_defense_01.png,aby_bureau_la_defense_01.png,432,473,0.9133,True,False,0.3508,0.2
assets/luna_stories_assets/09_decors_paris_la_defense/pack_01_yawatch_industries/aby_bureau_la_defense_logo_01.png,aby_bureau_la_defense_logo_01.png,432,473,0.9133,True,False,0.3508,0.2
assets/luna_stories_assets/09_decors_paris_la_defense/pack_04_quartiers_paris/PACK04_QUARTIERS_PARIS_PLANCHE_COMPLETE.jpg,PACK04_QUARTIERS_PARIS_PLANCHE_COMPLETE.jpg,1320,1480,0.8919,True,False,0.3294,1.95
assets/luna_stories_assets/09_decors_paris_la_defense/pack_03_paris_iconique_complement/PACK03_PARIS_ICONIQUE_COMPLEMENT_PLANCHE.jpg,PACK03_PARIS_ICONIQUE_COMPLEMENT_PLANCHE.jpg,1080,1230,0.878,True,False,0.3155,1.33
assets/luna_stories_assets/10_famille_luna/luna_parents_appartement_canape_01.png,luna_parents_appartement_canape_01.png,558,645,0.8651,True,False,0.3026,0.36
assets/luna_stories_assets/09_decors_paris_la_defense/pack_02_la_defense_quotidienne/la_defense_grande_arche_inspiration_01.png,la_defense_grande_arche_inspiration_01.png,469,553,0.8481,True,False,0.2856,0.26
assets/luna_stories_assets/09_decors_paris_la_defense/pack_02_la_defense_quotidienne/la_defense_esplanade_bascule_01.png,la_defense_esplanade_bascule_01.png,468,553,0.8463,True,False,0.2838,0.26
assets/luna_stories_assets/09_decors_paris_la_defense/pack_05_appartements_vie_normale/chambre_luna_jour_01.png,chambre_luna_jour_01.png,468,553,0.8463,True,False,0.2838,0.26
assets/luna_stories_assets/09_decors_paris_la_defense/pack_02_la_defense_quotidienne/la_defense_esplanade_fin_journee_01.png,la_defense_esplanade_fin_journee_01.png,469,555,0.845,True,False,0.2825,0.26
assets/luna_stories_assets/09_decors_paris_la_defense/pack_05_appartements_vie_normale/appartement_malik_bascule_01.png,appartement_malik_bascule_01.png,469,555,0.845,True,False,0.2825,0.26
assets/luna_stories_assets/09_decors_paris_la_defense/pack_02_la_defense_quotidienne/la_defense_couloir_rer_metro_01.png,la_defense_couloir_rer_metro_01.png,469,556,0.8435,True,False,0.281,0.26
assets/luna_stories_assets/09_decors_paris_la_defense/pack_05_appartements_vie_normale/cage_escalier_parisienne_01.png,cage_escalier_parisienne_01.png,469,556,0.8435,True,False,0.281,0.26
assets/luna_stories_assets/09_decors_paris_la_defense/pack_02_la_defense_quotidienne/la_defense_esplanade_jour_01.png,la_defense_esplanade_jour_01.png,468,555,0.8432,True,False,0.2807,0.26
assets/luna_stories_assets/09_decors_paris_la_defense/pack_05_appartements_vie_normale/appartement_malik_jour_01.png,appartement_malik_jour_01.png,468,555,0.8432,True,False,0.2807,0.26
assets/luna_stories_assets/09_decors_paris_la_defense/pack_02_la_defense_quotidienne/la_defense_centre_commercial_inspiration_quatre_temps_01.png,la_defense_centre_commercial_inspiration_quatre_temps_01.png,468,556,0.8417,True,False,0.2792,0.26
assets/luna_stories_assets/06_personnages_secondaires_a_valider/thomas_assistant_yawatch_neutral_canon_01.png,thomas_assistant_yawatch_neutral_canon_01.png,1122,1402,0.8003,True,False,0.2378,1.57
assets/luna_stories_assets/09_decors_paris_la_defense/pack_01_yawatch_industries/PACK01_YAWATCH_INDUSTRIES_PLANCHE.jpg,PACK01_YAWATCH_INDUSTRIES_PLANCHE.jpg,1080,1400,0.7714,True,False,0.2089,1.51
assets/luna_stories_assets/06_personnage_masculin_noir/personnage_masculin_noir_portrait_profil_01.png,personnage_masculin_noir_portrait_profil_01.png,316,416,0.7596,True,False,0.1971,0.13
assets/luna_stories_assets/03_aby/aby_character_sheet_02.png,aby_character_sheet_02.png,1086,1448,0.75,True,False,0.1875,1.57
assets/luna_stories_assets/06_personnage_masculin_noir/personnage_masculin_noir_portrait_face_stresse_01.png,personnage_masculin_noir_portrait_face_stresse_01.png,311,416,0.7476,True,False,0.1851,0.13
assets/luna_stories_assets/06_personnage_masculin_noir/personnage_masculin_noir_portrait_trois_quarts_calme_01.png,personnage_masculin_noir_portrait_trois_quarts_calme_01.png,309,416,0.7428,True,False,0.1803,0.13
assets/luna_stories_assets/06_personnage_masculin_noir/malik_pere_portrait_cadre_01.png,malik_pere_portrait_cadre_01.png,223,305,0.7311,True,False,0.1686,0.07
assets/luna_stories_assets/planche_assets_classes.jpg,planche_assets_classes.jpg,1440,3630,0.3967,True,False,0.1658,5.23
assets/luna_stories_assets/06_personnage_masculin_noir/malik_mere_portrait_cadre_01.png,malik_mere_portrait_cadre_01.png,225,311,0.7235,True,False,0.161,0.07
assets/luna_stories_assets/10_famille_luna/PACK10_FAMILLE_LUNA_PLANCHE.jpg,PACK10_FAMILLE_LUNA_PLANCHE.jpg,960,1410,0.6809,True,False,0.1184,1.35
assets/luna_stories_assets/01_luna_adulte/luna_adulte_ceo_03_portrait.png,luna_adulte_ceo_03_portrait.png,1024,1535,0.6671,True,False,0.1046,1.57
assets/luna_stories_assets/01_luna_adulte/luna_adulte_reference_realiste_01.jpg,luna_adulte_reference_realiste_01.jpg,1366,2048,0.667,True,False,0.1045,2.8
assets/luna_stories_assets/05_objets_symboliques_poupees/poupee_luna_violette_01.jpg,poupee_luna_violette_01.jpg,1366,2048,0.667,True,False,0.1045,2.8
assets/luna_stories_assets/episodes/EP01_LA_VILLE_DANS_LA_CHAMBRE/EP01_PLAN_02_ref_poupee_luna_violette.jpg,EP01_PLAN_02_ref_poupee_luna_violette.jpg,1366,2048,0.667,True,False,0.1045,2.8
assets/luna_stories_assets/00_assets_deja_dans_app/app_luna_adulte_avatar_current.jpg,app_luna_adulte_avatar_current.jpg,400,600,0.6667,True,False,0.1042,0.24
assets/luna_stories_assets/03_aby/aby_adulte_privee_baie_vitree_dossier_01.png,aby_adulte_privee_baie_vitree_dossier_01.png,1024,1536,0.6667,True,False,0.1042,1.57
assets/luna_stories_assets/07_documents_reference_a_valider/schema_llm_chaos_sens_01.png,schema_llm_chaos_sens_01.png,1024,1536,0.6667,True,False,0.1042,1.57
assets/luna_stories_assets/05_objets_symboliques_poupees/poupee_luna_portrait_02.jpg,poupee_luna_portrait_02.jpg,1365,2048,0.6665,True,False,0.104,2.8
assets/luna_stories_assets/05_objets_symboliques_poupees/poupee_luna_portrait_03.jpg,poupee_luna_portrait_03.jpg,1365,2048,0.6665,True,False,0.104,2.8
assets/luna_stories_assets/03_aby/aby_character_sheet_01.png,aby_character_sheet_01.png,1023,1537,0.6656,True,False,0.1031,1.57
assets/luna_stories_assets/00_assets_deja_dans_app/app_iris_workspace_reference_01.png,app_iris_workspace_reference_01.png,780,1688,0.4621,True,False,0.1004,1.32
assets/luna_stories_assets/00_assets_deja_dans_app/app_aby_adulte_avatar_current.jpg,app_aby_adulte_avatar_current.jpg,400,661,0.6051,True,True,0.0426,0.26
assets/luna_stories_assets/06_personnage_masculin_noir/malik_pere_portrait_famille_01.png,malik_pere_portrait_famille_01.png,167,305,0.5475,True,True,0.015,0.05
assets/luna_stories_assets/06_personnage_masculin_noir/malik_mere_portrait_famille_01.png,malik_mere_portrait_famille_01.png,170,305,0.5574,True,True,0.0051,0.05
assets/luna_stories_assets/01_luna_adulte/candidates/non_canon/luna_adulte_neutral_9x16_candidate_face_mismatch_01.png,luna_adulte_neutral_9x16_candidate_face_mismatch_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/01_luna_adulte/luna_adulte_looking_at_turned_photo_01.png,luna_adulte_looking_at_turned_photo_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/01_luna_adulte/luna_adulte_looking_out_window_01.png,luna_adulte_looking_out_window_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/01_luna_adulte/luna_adulte_neutral_9x16_01.png,luna_adulte_neutral_9x16_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/01_luna_adulte/luna_adulte_office_desk_01.png,luna_adulte_office_desk_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/01_luna_adulte/luna_adulte_protective_luna_doll_01.png,luna_adulte_protective_luna_doll_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/01_luna_adulte/luna_adulte_worried_9x16_01.png,luna_adulte_worried_9x16_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/02_luna_enfant/luna_enfant_comforted_with_doll_01.png,luna_enfant_comforted_with_doll_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/02_luna_enfant/luna_enfant_neutral_9x16_01.png,luna_enfant_neutral_9x16_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/02_luna_enfant/luna_enfant_worried_night_01.png,luna_enfant_worried_night_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/03_aby/aby_adulte_controlled_anger_01.png,aby_adulte_controlled_anger_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/03_aby/aby_adulte_mains_referme_dossier_01.png,aby_adulte_mains_referme_dossier_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/03_aby/aby_adulte_neutral_9x16_01.png,aby_adulte_neutral_9x16_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/03_aby/aby_adulte_observing_luna_01.png,aby_adulte_observing_luna_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/03_aby/aby_adulte_vulnerable_after_meeting_01.png,aby_adulte_vulnerable_after_meeting_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/03_aby/aby_enfant_main_jeton_noir_maquette_01.png,aby_enfant_main_jeton_noir_maquette_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/05_objets_symboliques_poupees/poupee_luna_gros_plan_yeux_mystere_01.png,poupee_luna_gros_plan_yeux_mystere_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/06_personnage_masculin_noir/malik_jouet_symbolique_enfance_01.png,malik_jouet_symbolique_enfance_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/06_personnage_masculin_noir/personnage_masculin_noir_planche_reference_01.png,personnage_masculin_noir_planche_reference_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/08_visuels_cles/visuel_cle_luna_aby_malik_objets_01.png,visuel_cle_luna_aby_malik_objets_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/09_decors_paris_la_defense/pack_03_paris_iconique_complement/paris_invalides_fin_journee_01.png,paris_invalides_fin_journee_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/09_decors_paris_la_defense/pack_05_appartements_vie_normale/chambre_luna_souvenir_sans_personnage_01.png,chambre_luna_souvenir_sans_personnage_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/10_famille_luna/mere_luna_aby_neutral_9x16_01.png,mere_luna_aby_neutral_9x16_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/10_famille_luna/mere_luna_aby_protective_memory_box_01.png,mere_luna_aby_protective_memory_box_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/10_famille_luna/mere_luna_aby_vulnerable_closed_box_01.png,mere_luna_aby_vulnerable_closed_box_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/10_famille_luna/mere_luna_aby_worried_apartment_01.png,mere_luna_aby_worried_apartment_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/10_famille_luna/mere_transmet_boite_luna_adulte_01.png,mere_transmet_boite_luna_adulte_01.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/episodes/EP01_LA_VILLE_DANS_LA_CHAMBRE/EP01_PLAN_01_chambre_fenetre_nuit.png,EP01_PLAN_01_chambre_fenetre_nuit.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/episodes/EP01_LA_VILLE_DANS_LA_CHAMBRE/EP01_PLAN_02_poupee_luna_chambre_nuit.png,EP01_PLAN_02_poupee_luna_chambre_nuit.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/episodes/EP01_LA_VILLE_DANS_LA_CHAMBRE/EP01_PLAN_03_ville_miniature_illuminee.png,EP01_PLAN_03_ville_miniature_illuminee.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/episodes/EP01_LA_VILLE_DANS_LA_CHAMBRE/EP01_PLAN_04_maison_porte_ouverte.png,EP01_PLAN_04_maison_porte_ouverte.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/episodes/EP01_LA_VILLE_DANS_LA_CHAMBRE/EP01_PLAN_05_poupee_et_ville_miniature.png,EP01_PLAN_05_poupee_et_ville_miniature.png,941,1672,0.5628,True,True,0.0003,1.57
assets/luna_stories_assets/episodes/EP01_LA_VILLE_DANS_LA_CHAMBRE/EP01_PLAN_07_jeton_aby_observe.png,EP01_PLAN_07_jeton_aby_observe.png,941,1672,0.5628,True,True,0.0003,1.57
