timestamp,exp_id,question,metric,label,engine,varied_param,value,seed,duration_sec,ssim_face_min,lighting_face_pct,flicker_face,flow_face,flow_shoulders,flow_hair,flow_full,translation_risk,organic_score,face_residual,background_lighting_pct,background_flicker,gate_passed,mp4
2026-06-22T03Z,wan_faceswap,Le face-swap reference (inswapper vers Luna canonique) sauve-t-il l identite ?,delta ssim_face_min,wan_clip__avant,,restore,none,,5.12,0.7747,12.0112,0.31,0.2145,0.2694,0.1829,0.143,0.0211,0.857,0.1967,5.3989,0.2126,False,/workspace/wan_clip.mp4
2026-06-22T03Z,wan_faceswap,Le face-swap reference (inswapper vers Luna canonique) sauve-t-il l identite ?,delta ssim_face_min,wan_clip__apres_faceswap,,restore,faceswap,,5.12,0.7887,10.4192,0.3083,0.2184,0.2892,0.1886,0.1561,0.0154,0.8295,0.2019,5.5766,0.2281,False,/workspace/yawatch-luna-stories/content/experiments/wan_faceswap/clips/wan_clip_restored_faceswap.mp4
